#,X_C,X_N,X_U,Y_C,Y_N,Y_U
1,3,Y,Y,4,Y,Y
2,4,Y,Y,5,Y,Y
3,4,Y,Y,3,Y,Y
4,1,N,N,4,Y,Y
5,4,Y,Y,3,N,N
6,1,N,N,3,Y,Y
7,4,Y,Y,3,Y,Y
8,4,Y,Y,3,Y,Y
9,5,Y,Y,4,Y,Y
10,4,Y,Y,3,Y,Y
11,1,N,N,4,Y,Y
12,3,Y,Y,4,Y,Y
13,3,Y,Y,4,Y,Y
14,4,Y,Y,4,Y,Y
15,4,Y,Y,3,Y,Y
16,4,Y,Y,4,Y,Y
17,4,Y,Y,5,Y,Y
18,4,Y,Y,4,Y,Y
19,4,Y,Y,3,Y,Y
20,4,Y,Y,4,Y,Y
21,4,Y,Y,3,Y,Y
22,3,Y,Y,4,Y,Y
23,4,Y,Y,3,Y,Y
24,4,Y,Y,3,Y,Y
25,4,Y,Y,4,Y,Y
26,5,Y,Y,4,Y,Y
27,3,Y,Y,4,Y,Y
28,4,Y,Y,3,Y,Y
29,4,Y,Y,3,Y,Y
30,3,Y,Y,4,Y,Y
31,3,Y,Y,3,Y,Y
32,3,Y,Y,4,Y,Y
33,4,Y,Y,5,Y,Y
34,4,Y,Y,4,Y,Y
35,4,Y,Y,4,Y,Y
36,3,Y,Y,4,Y,Y
37,3,Y,Y,3,Y,Y
38,3,Y,Y,4,Y,Y
39,4,Y,Y,3,Y,Y
40,3,Y,Y,3,Y,Y
41,4,Y,Y,4,Y,Y
42,4,Y,Y,3,Y,Y
43,5,Y,Y,4,Y,Y
44,5,Y,Y,4,Y,Y
45,4,Y,Y,4,Y,Y
46,3,Y,Y,4,Y,Y
47,4,Y,Y,4,Y,Y
48,3,Y,Y,4,Y,Y
49,3,Y,Y,4,Y,Y
50,4,Y,Y,3,Y,Y
