scope,dimension,rater_pair,n,raw_agreement,gwet_ac1
Full(A+B+Baseline),C,E2-E3,201,0.8607,0.84
Full(A+B+Baseline),C,E2-E4,202,0.7376,0.6472
Full(A+B+Baseline),C,E3-E4,86,0.7558,0.6892
Full(A+B+Baseline),N,E2-E3,201,0.791,0.7429
Full(A+B+Baseline),N,E2-E4,202,0.6287,0.4201
Full(A+B+Baseline),N,E3-E4,86,0.686,0.573
Full(A+B+Baseline),U,E2-E3,201,0.5224,0.1615
Full(A+B+Baseline),U,E2-E4,202,0.7277,0.6097
Full(A+B+Baseline),U,E3-E4,86,0.7093,0.6047
Full(A+B+Baseline),Accept,E2-E3,201,0.5124,0.0975
Full(A+B+Baseline),Accept,E2-E4,202,0.5149,0.1233
Full(A+B+Baseline),Accept,E3-E4,86,0.5349,0.2217
A+B(channel),C,E2-E3,201,0.8607,0.84
A+B(channel),C,E2-E4,0,,
A+B(channel),C,E3-E4,14,0.6429,0.4946
A+B(channel),N,E2-E3,201,0.791,0.7429
A+B(channel),N,E2-E4,0,,
A+B(channel),N,E3-E4,14,0.7143,0.6216
A+B(channel),U,E2-E3,201,0.5224,0.1615
A+B(channel),U,E2-E4,0,,
A+B(channel),U,E3-E4,14,0.3571,-0.2293
A+B(channel),Accept,E2-E3,201,0.5124,0.0975
A+B(channel),Accept,E2-E4,0,,
A+B(channel),Accept,E3-E4,14,0.4286,-0.1429
A(GitHub),C,E2-E3,87,0.8391,0.8111
A(GitHub),C,E2-E4,0,,
A(GitHub),C,E3-E4,0,,
A(GitHub),N,E2-E3,87,0.7701,0.7114
A(GitHub),N,E2-E4,0,,
A(GitHub),N,E3-E4,0,,
A(GitHub),U,E2-E3,87,0.7241,0.6381
A(GitHub),U,E2-E4,0,,
A(GitHub),U,E3-E4,0,,
A(GitHub),Accept,E2-E3,87,0.6322,0.4744
A(GitHub),Accept,E2-E4,0,,
A(GitHub),Accept,E3-E4,0,,
B(NHTSA),C,E2-E3,114,0.8772,0.8612
B(NHTSA),C,E2-E4,0,,
B(NHTSA),C,E3-E4,14,0.6429,0.4946
B(NHTSA),N,E2-E3,114,0.807,0.7663
B(NHTSA),N,E2-E4,0,,
B(NHTSA),N,E3-E4,14,0.7143,0.6216
B(NHTSA),U,E2-E3,114,0.3684,-0.2493
B(NHTSA),U,E2-E4,0,,
B(NHTSA),U,E3-E4,14,0.3571,-0.2293
B(NHTSA),Accept,E2-E3,114,0.4211,-0.1575
B(NHTSA),Accept,E2-E4,0,,
B(NHTSA),Accept,E3-E4,14,0.4286,-0.1429
Baseline,C,E2-E3,0,,
Baseline,C,E2-E4,202,0.7376,0.6472
Baseline,C,E3-E4,72,0.7778,0.7231
Baseline,N,E2-E3,0,,
Baseline,N,E2-E4,202,0.6287,0.4201
Baseline,N,E3-E4,72,0.6806,0.5633
Baseline,U,E2-E3,0,,
Baseline,U,E2-E4,202,0.7277,0.6097
Baseline,U,E3-E4,72,0.7778,0.7231
Baseline,Accept,E2-E3,0,,
Baseline,Accept,E2-E4,202,0.5149,0.1233
Baseline,Accept,E3-E4,72,0.5556,0.3048
